book_id,title,subtitle,authors,publisher,description,page_count,categories,language,isbn_13,isbn_10,list_price,buyable,year,popularity_score,pages_group,num_authors
yEo1DwAAQBAJ,Collected Fiction,"The Young Lions, Bread Upon the Waters, Short Stories: Five Decades, and The Troubled Air",Irwin Shaw,Open Road Media,"Three acclaimed novels plus collected short fiction by the New York Times–bestselling author of Rich Man, Poor Man. The Young Lions: Irwin Shaw’s New York Times–bestselling debut is widely considered one of the four great World War II novels, along with From Here to Eternity, The Naked and the Dead, and The Caine Mutiny. Ambitious in its scope and robust in its prose, this “masterpiece” is also deeply humanistic, presenting the reality of war as seen through the eyes of three ordinary soldiers: a Nazi sergeant, a Jewish American infantryman, and an idealistic urbanite from New York City (TheBoston Globe). Bread Upon the Waters: No good deed goes unpunished? The Strands are a happy family, though not without their financial struggles. When their daughter helps a mugging victim by bringing him home, he turns out to be a Wall Street lawyer whose gratitude is as boundless as his bank account. But with each successive “reward,” the Strand family moves farther away from the wealth of happiness they already possessed. Short Stories: Five Decades: Shaw’s prolific output of short stories appeared regularly in the pages of the New Yorker and Esquire for over half a century. These sixty-three stories include such iconic works as “The Eighty-Yard Run” and “The Girls in Their Summer Dresses.” The Troubled Air: Five employees of Clement Archer’s popular radio show are accused Communists. He will have to fire them to keep his show on the air. But it’s not a simple choice—whatever Archer decides, he won’t be able to keep his hands clean, in Shaw’s provocative classic about courage and morality at the height of McCarthyism.",2516.0,Fiction,English,9781504047203.0,1504047206,29.99,True,2017.0,0.0,Long ( >300 pages ),1
6fxsDwAAQBAJ,The Madame Catches Her Duke,nan,Christina McKnight,La Loma Elite Publishing,"THERE’S A FINE LINE BETWEEN LOVE AND HATE. Despite being thrown from her home and stripped of her place in society at a young age, Madame Marce Davenport is proud of what she’s accomplished with her family and the notoriously scandalous Craven House. Except it’s all built on a lie. When an arrogant duke strode into her home years ago, offering her a way to keep the brothel open, she agreed to his game of deception. But now that her siblings have found their happiness, Marce can finally live the life she’s always wanted: one that embraces the truth. And that means severing ties with the man who has claimed too many of her days—both in reality, and fantasy. Rowan Delconti, the Duke of Harwich, has been angry for so long: at his father, at the woman who broke apart his parents’ marriage, and at the children who won is father’s love. He’s determined his mother won’t be unhappy again—even if it means pretending to be married to Marce, so that his mother will think he’s found love in his life. But the beautiful madame fuels his fire like no other, and the charade starts to feel all too real. When Marce and Rowan’s secrets finally come to light, their passion may not be enough to staunch the hurt of the past. Can two people who were so wrong for each other, realize they’ve been right all along?",303.0,Fiction,English,9781945089312.0,1945089318,4.99,True,2018.0,0.0,Long ( >300 pages ),1
MI9REQAAQBAJ,The Little Princess of Tower Hill,nan,L. T. Meade,Modernista,"Little Priscilla lives a charmed life at Tower Hill, surrounded by love and kindness. With her warm heart and generous spirit, she is adored by all who know her. But when unexpected changes shake her world, Priscilla must learn that being a true »princess« is not about wealth or privilege—it is about strength, kindness, and the courage to face life’s challenges. The Little Princess of Tower Hill is a heartwarming story of family, friendship, and personal growth. L. T. Meade weaves a touching tale about a young girl discovering what truly makes someone noble at heart. L. T. MEADE [1844–1914] was a prolific Irish writer best known for her popular girls' novels and detective fiction. She wrote over 300 books, covering a wide range of genres, including school stories, historical fiction, and mysteries. Her most famous works include A World of Girls [1886], which helped shape the boarding school story genre, and the Doctor Riddell and Craigen Court detective series.",101.0,nan,English,9789181085884.0,9181085885,8.3,True,2025.0,0.0,Medium (100-300 pages),1
mINNAwAAQBAJ,Abanda,A Novel,John H. Hayes,Wipf and Stock Publishers,"""Set in a small, rural Alabama community during the height of World War II ... The main characters are two ten-year-old sons of sharecroppers--one black and one white. Amid the difficulties, deprivations, and disadvantages resulting from living on the bottom rungs of the economic ladder, they share a friendship that carries them through tough times and enriches their lives with joy. A terrible sequence of events threatens that friendship and rocks their world""--P. [4] of cover.",159.0,History,English,9781620325087.0,162032508X,21.0,True,2012.0,0.0,Medium (100-300 pages),1
C0hEEAAAQBAJ,Adhd Isn’t Me!,nan,Candace Curry,Xlibris Corporation,The book tells of a little girl’s acceptance of her recent diagnosis of ADHD. Instead of her viewing the diagnosis as a negative aspect of her young life she positively sees the symptoms of ADHD as super powers that make her extra special.,26.0,Fiction,English,9781664191655.0,1664191658,5.99,True,2021.0,0.0,Short ( <100 pages ),1
EjN0EQAAQBAJ,Trapped in Oz,nan,Andrew Grey,Dreamspinner Press,"Tales from Kansas Martin Long has plans and dreams, but they are derailed when his parents move and must sell their house. In need of a place to stay, fast, he answers an ad for a roommate, and even though the house needs work, the owner seems nice so Martin agrees to move in. Gary Hunter is barely making ends meet, with mysteriously disappearing tips at work and tuition to pay. Disowned by his family and left with a house in need of repair, Gary desperately needs the extra set of hands along with the money. When Gary confesses that his family disowned him for being gay, Martin makes his own confession that opens a world of possibilities. But Gary has paid a heavy price for being who he is, and Martin's unwillingness to open up to his family puts strain on the fledgling relationship.",139.0,Fiction,English,9781632160218.0,1632160218,4.99,True,2014.0,0.0,Medium (100-300 pages),1
obWREAAAQBAJ,The Stuff of Science Fiction,"Hardware, Settings, Characters",Gary Westfahl,McFarland,"While students and general readers typically cannot relate to esoteric definitions of science fiction, they readily understand the genre as a literature that characteristically deals with subjects such as new inventions, space, robot and aliens. This book looks at science fiction in precisely this manner, with twenty-one chapters that each deal with a subject that is repeatedly addressed in science fiction of recent centuries. Based on a packet of original essays that the author assembled for his classes, the book could serve as a supplemental textbook in science fiction classes, but also contains material of interest to science fiction scholars and others devoted to the genre. In some cases, chapters offer thorough surveys of numerous works involving certain subjects, such as imagined vehicles, journeys beneath the Earth and undersea adventures, discovering intriguing patterns in the ways that various writers developed their ideas. When comprehensive coverage of ubiquitous topics such as robots, aliens and the planet Mars is impossible, chapters focus on major themes referencing selected texts. A conclusion discusses other science fiction subjects that were omitted for various reasons, and a bibliography lists additional resources for the study of science fiction in general and the topics of each chapter.",298.0,Literary Criticism,English,9781476646954.0,1476646953,29.99,True,2022.0,0.0,Medium (100-300 pages),1
0HKKC-RJJWMC,The Year's Best Science Fiction: Twenty-Eighth Annual Collection,nan,Gardner Dozois,St. Martin's Griffin,"In the new millennium, what secrets lay beyond the far reaches of the universe? What mysteries belie the truths we once held to be self evident? The world of science fiction has long been a porthole into the realities of tomorrow, blurring the line between life and art. Now, in The Year's Best Science Fiction: Twenty-Eighth Annual Collection the very best SF authors explore ideas of a new world. This venerable collection of short stories brings together award winning authors and masters of the field such as Robert Reed, Alastair Reynolds, Damien Broderick, Carrie Vaughn, Ian R. MacLeod and Cory Doctorow. And with an extensive recommended reading guide and a summation of the year in science fiction, this annual compilation has become the definitive must-read anthology for all science fiction fans and readers interested in breaking into the genre.",767.0,Fiction,English,9781429983068.0,142998306X,11.99,True,2011.0,3.0,Long ( >300 pages ),1
nWYwEQAAQBAJ,Science Fiction: 101,Exploring the Craft of Science Fiction,Robert Silverberg,Open Road Media,"The Grand Master details his development as a writer and shares thirteen favorite sci-fi stories from his youth and what they taught him about writing. Every writer must start somewhere. Robert Silverberg was once simply a young man learning the art and craft of writing before he found success. But how did he get from there to winning four Hugo Awards, three Locus Awards, and six Nebula Awards, as well as being named a Grand Master of science fiction? In Science Fiction 101, the prolific author looks back to his roots in the genre to answer that question. With thought-provoking essays, Silverberg details the inspiration, lessons, strategies, and skills he gained from thirteen groundbreaking science fiction stories from the 1940s, '50s, and '60s—all included in this volume. It's an entertaining and enlightening read, perfect for those interested in sci-fi history and the craft of writing. Featuring thirteen classic stories from Brian W. Aldiss, Alfred Bester, James Blish, Philip K. Dick, Damon Knight, Cyril M. Kornbluth, Henry Kuttner, C. L. Moore, Frederik Pohl, Bob Shaw, Robert Sheckley, Cordwainer Smith, and Jack Vance. Previously published as Robert Silverberg's Worlds of Wonder Praise for Science Fiction 101 ""An excellent introduction to the most important roots of modern SF."" — The Washington Post ""Offers encouragement and sound counsel . . . Anyone interested in writing science fiction and fantasy will profit from this book."" — San Francisco Examiner-Chronicle ""A virtual primer on the writing of science fiction . . . a fascinating portrait of a young man becoming a writer . . . Finally, we have the 13 stories, almost all of which are classics in the field, wonderful to reread and in some cases to encounter for the first time."" — Publishers Weekly ""A unique and successful work."" — Los Angeles Times",502.0,Fiction,English,9781504099288.0,1504099281,14.99,True,2024.0,0.0,Long ( >300 pages ),1
KEwpbLITuDcC,The Year's Best Science Fiction: Twenty-Fifth Annual Collection,nan,Gardner Dozois,St. Martin's Griffin,"In the new millennium, what secrets lay beyond the far reaches of the universe? What mysteries belie the truths we once held to be self evident? The world of science fiction has long been a porthole into the realities of tomorrow, blurring the line between life and art. Now, in The Year's Best Science Fiction Twenty-Fifth Annual Collection the very best SF authors explore ideas of a new world. This venerable collection of short stories brings together award winning authors and masters of the field such as Robert Reed, Ian McDonald, Stephen Baxter, Michael Swanwick, Paolo Bacigalupi, Kage Baker, Walter Jon Williams, Alastair Reynolds, and Charles Stross. And with an extensive recommended reading guide and a summation of the year in science fiction, this annual compilation has become the definitive must read anthology for all science fiction fans and readers interested in breaking into the genre. ""This venerable annual’s twenty-fifth edition represents a milestone for editor Dozois. He has kept faith with the series for a quarter-century without ever shortchanging, or even showing any signs of shortchanging, readers on either quality or abundance of selections.""--Booklist",706.0,Fiction,English,9781429983716.0,142998371X,14.99,True,2008.0,24.0,Long ( >300 pages ),1
k2p8DQAAQBAJ,Age of Wonders,Exploring the World of Science Fiction,David G. Hartwell,Macmillan,"Age of Wonders: Exploring the World of Science Fiction gives an insider's view of the strange and wonderful world of science fiction, by one of the most respected editors in the field, David G. Hartwell (1941–2016). David G. Hartwell edited science fiction and fantasy for over twenty years. In that time, he worked with acclaimed and popular writers such as Robert A. Heinlein, Poul Anderson, Frank Herbert, Roger Zelazny, Robert Silverberg, Gene Wolfe, Nancy Kress, L.E. Modesitt, Terry Bisson, Lisa Goldstein, and Philip Jose Farmer, and discovered hot new talents like Kathleen Ann Goonan and Patrick O'Leary. Now in Age of Wonder, Hartwell describes the field he loved, worked in, and shaped as editor, critic, and anthologist. Like those other American art forms, jazz, comics, and rock 'n' roll, science fiction is the product of a rich and fascinating subculture. Age of Wonder is a fascinating tour of the origins, history, and culture of the science fiction world, written with insight and genuine affection for this wonder-filled literature, and addressed to newcomers and longtime SF readers alike. Age of Wonder remains ""the landmark work"" Roger Zelazny called the first edition. The book contains sections that offer advice on teaching courses in science fiction, disquisitions on the controversial subgenre of hard SF, and practical explanations of the economics of publishing science fiction and fantasy. Age of Wonder still lives up to Hugo and Nebula Award winner Vonda McIntyre's description: ""An entertaining and provocative book that will inspire discussion and argument for years to come.""",313.0,Literary Criticism,English,9780765398130.0,0765398133,2.99,True,2017.0,0.0,Long ( >300 pages ),1
35hwBAAAQBAJ,The First William P. McGivern Science Fiction MEGAPACK ®,25 Classic Stories,"William P. McGivern, Gerald Vance",Wildside Press LLC,"William P. McGivern, a popular and prolific science fiction writer in the 1940s and 1950s (under his own name as well as the pseudonyms Gerald Vance and P.F. Costello), later achieved fame as a noir and hardboiled mystery author of such classics as ""The Big Heat."" The First William P. McGivern Science Fiction Megapack collects 25 of his early science fiction stories, including: JOHN BROWN'S BODY THE VISIBLE INVISIBLE MAN THE DYNAMOUSE KILLER'S TURNABOUT THE FATE OF ASTEROID 13 DICTOGRAPHS OF DEATH THE MASTERFUL MIND OF MORTIMER MEEK THE QUANDARY OF QUINTAS QUAGGLE MR. MUDDLE DOES AS HE PLEASES PETER FERENY'S DEATH CELL YELLOW MUD FOR COWARDS PLANET OF LOST MEN MYSTERY ON BASE 10 REHEARSAL FOR DANGER KIDNAPPED INTO THE FUTURE THE GIANT FROM JUPITER CAPTAIN STINKY CAPTAIN STINKY'S LUCK SAFARI TO THE LOST AGES CONVOY IN SPACE VENGEANCE ON VENUS MONSOONS OF DEATH LARSON'S LUCK THE CHAMELEON MAN VISITOR TO EARTH If you enjoy this book, search your favorite ebook store for ""Wildside Press Megapack"" to see the 150+ entries in the Megapack series, covering science fiction, fantasy, horror, mysteries, westerns, classics, adventure stories, and much, much more!",612.0,Fiction,English,9781479403646.0,1479403644,0.99,True,2014.0,0.0,Long ( >300 pages ),2
cu1Ys0yAGqYC,Free Live Free,nan,Gene Wolfe,Macmillan,"""Free Live Free,"" said the newspaper ad, and the out-of-work detective Jim Stubb, the occultist Madame Serpentina, the salesman Ozzie Barnes, and the overweight prostitute Candy Garth are brought together to live for a time in Free's old house, a house scheduled for demolition to make way for a highway. Free drops mysterious hints of his exile from his homeland, and of the lost key to his return. And so when demolition occurs and Free disappears, the four make a pact to continue the search, which ultimately takes them far beyond their wildest dreams. This is character-driven science fiction at its best by a writer whom, at the time of its first publication, the Chicago Sun-Times called ""science fiction's best genuine novelist."" At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",492.0,Fiction,English,9781466832428.0,1466832428,14.99,True,1999.0,0.0,Long ( >300 pages ),1
2O0QDQAAQBAJ,Pseudoscience and Science Fiction,nan,Andrew May,Springer,"Aliens, flying saucers, ESP, the Bermuda Triangle, antigravity ... are we talking about science fiction or pseudoscience? Sometimes it is difficult to tell the difference. Both pseudoscience and science fiction (SF) are creative endeavours that have little in common with academic science, beyond the superficial trappings of jargon and subject matter. The most obvious difference between the two is that pseudoscience is presented as fact, not fiction. Yet like SF, and unlike real science, pseudoscience is driven by a desire to please an audience – in this case, people who “want to believe”. This has led to significant cross-fertilization between the two disciplines. SF authors often draw on “real” pseudoscientific theories to add verisimilitude to their stories, while on other occasions pseudoscience takes its cue from SF – the symbiotic relationship between ufology and Hollywood being a prime example of this. This engagingly written, well researched and richly illustrated text explores a wide range of intriguing similarities and differences between pseudoscience and the fictional science found in SF. Andrew May has a degree in Natural Sciences from Cambridge University and a PhD in astrophysics from Manchester University. After many years in academia and the private sector, he now works as a freelance writer and scientific consultant. He has written pocket biographies of Newton and Einstein, as well as contributing to a number of popular science books. He has a lifelong interest in science fiction, and has had several articles published in Fortean Times magazine",188.0,Science,English,9783319426051.0,3319426052,24.99,False,2016.0,0.0,Medium (100-300 pages),1
waRlAgAAQBAJ,Encyclopedia of Time,nan,Samuel L. Macey,Routledge,"In this encyclopedia, some 200 international scholars in 360 articles explore subjects such as physics, archeostronomy, astronomy, mathematics, time's measurements and divisions, as well as covering other scientific and interdisciplinary areas: biology, economics and political science, horology, history, medicine, geography, geology and telecommunications.",730.0,Business & Economics,English,9781136508905.0,1136508902,300.0,True,2013.0,0.0,Long ( >300 pages ),1
NnlUEAAAQBAJ,The Anatomy of Genres,How Story Forms Explain the Way the World Works,John Truby,Picador,"A guide to understanding the major genres of the story world by the legendary writing teacher and author of The Anatomy of Story, John Truby. Most people think genres are simply categories on Netflix or Amazon that provide a helpful guide to making entertainment choices. Most people are wrong. Genre stories aren’t just a small subset of the films, video games, TV shows, and books that people consume. They are the all-stars of the entertainment world, comprising the vast majority of popular stories worldwide. That’s why businesses—movie studios, production companies, video game studios, and publishing houses—buy and sell them. Writers who want to succeed professionally must write the stories these businesses want to buy. Simply put, the storytelling game is won by mastering the structure of genres. The Anatomy of Genres: How Story Forms Explain the Way the World Works is the legendary writing teacher John Truby’s step-by-step guide to understanding and using the basic building blocks of the story world. He details the three ironclad rules of successful genre writing, and analyzes more than a dozen major genres and the essential plot events, or “beats,” that define each of them. As he shows, the ability to combine these beats in the right way is what separates stories that sell from those that don’t. Truby also reveals how a single story can combine elements of different genres, and how the best writers use this technique to craft unforgettable stories that stand out from the crowd. Just as Truby’s first book, The Anatomy of Story, changed the way writers develop stories, The Anatomy of Genres will enhance their quality and expand the impact they have on the world.",328.0,Language Arts & Disciplines,English,9780374722814.0,0374722811,12.99,True,2022.0,0.0,Long ( >300 pages ),1
96OmDwAAQBAJ,Battlestar Galactica,"Investigating Flesh, Spirit and Steel","Roz Kaveney, Jennifer Stoy",Bloomsbury Publishing,"""The West Wing"" or ""Generation Kill"" in Space? A show about God-fearing sex-obsessed robots? Or a complex meditation on fate, dreaming and eternal recurrence? Of all recent television science fiction series, the reimagined ""Battlestar Galactica"" is the most highly praised and consistently inventive and intelligent. Where the original show was a straightforward space opera, the new one is rich, strange and above all unpredictable. This book covers the new ""Battlestar Galactica"" from beginning to end, covering all of the show's principal themes from the depiction of sexuality in an era of artificial people and downloaded memories to what it means to be a member of a military organization when the stakes are not victory or defeat but survival. Like all the best shows about the future or the past - we are never sure when all this is supposed to be happening - ""Battlestar Galactica"" is a series about the present; chapters here cover its depiction of the post-9.11 world and such issues as abortion and worker's rights. This definitive book on the full new ""Battlestar Galactica"" also includes an interview with Jane Espenson, co-executive producer of the show's last seasons and writer/director of the ""Battlestar Galactica"" prequel film ""The Plan"", with a complete episode guide.",226.0,Performing Arts,English,9780857731098.0,0857731092,24.25,True,2010.0,0.0,Medium (100-300 pages),2
